temperature,humidity,numVehicles,numPedestrians,ambulanceDetected,delay_time,time
0,0,0,0,false,5000,2024-12-15T14:19:23.288Z

0,0,0,0,false,4000,2024-12-15T14:19:28.114Z

0,0,0,0,false,4000,2024-12-15T14:19:29.476Z

20.8,80,0,0,false,4000,2024-12-15T14:19:30.877Z

20.8,80,0,0,false,4000,2024-12-15T14:19:32.578Z

20.6,80,12,0,false,4000,2024-12-15T14:19:35.779Z

20.6,80,12,0,false,4000,2024-12-15T14:19:37.297Z

20.9,80,12,2,false,4000,2024-12-15T14:19:39.239Z

20.7,80,9,2,false,4000,2024-12-15T14:19:42.503Z

20.7,80,9,2,false,4000,2024-12-15T14:19:44.359Z

20.8,80,9,4,false,4000,2024-12-15T14:19:45.663Z

20.6,80,9,4,false,4000,2024-12-15T14:19:47.718Z

20.6,80,9,4,false,4000,2024-12-15T14:19:49.101Z

20.9,80,13,4,false,4000,2024-12-15T14:19:53.419Z

20.9,80,13,4,false,4000,2024-12-15T14:19:56.390Z

20.9,80,13,4,false,4000,2024-12-15T14:19:57.294Z

20.9,80,13,4,false,4000,2024-12-15T14:19:58.941Z

20.8,80,13,4,false,4000,2024-12-15T14:20:01.236Z

20.8,80,13,4,false,4000,2024-12-15T14:20:02.929Z

21.4,81,13,6,false,4000,2024-12-15T14:20:04.490Z

21,81,13,6,false,5000,2024-12-15T14:20:06.660Z

21,81,13,6,false,5000,2024-12-15T14:20:08.158Z

20.9,80,18,6,false,5000,2024-12-15T14:20:09.761Z

20.9,80,18,6,false,5000,2024-12-15T14:20:11.305Z

21.3,81,18,7,false,5000,2024-12-15T14:20:12.953Z

21.3,81,18,7,false,5000,2024-12-15T14:20:14.536Z

20.5,80,18,7,false,5000,2024-12-15T14:20:18.287Z

20.7,80,10,7,false,5000,2024-12-15T14:20:21.283Z

20.9,80,10,7,false,5000,2024-12-15T14:20:27.282Z

20.4,79,10,9,false,5000,2024-12-15T14:20:28.492Z

20.4,79,11,9,false,5000,2024-12-15T14:20:30.077Z

20.9,79,11,9,false,5000,2024-12-15T14:20:31.828Z

20.9,79,11,8,false,5000,2024-12-15T14:20:33.672Z

20.8,79,11,8,false,5000,2024-12-15T14:20:37.359Z

20.6,79,11,8,false,5000,2024-12-15T14:20:39.348Z

20.9,79,10,8,false,5000,2024-12-15T14:20:41.721Z

20.4,79,10,8,false,5000,2024-12-15T14:20:45.430Z

20.4,79,10,7,false,5000,2024-12-15T14:20:47.313Z

20.9,79,10,7,false,5000,2024-12-15T14:20:50.148Z

20.9,79,8,7,false,5000,2024-12-15T14:20:51.941Z

20.6,79,8,7,false,5000,2024-12-15T14:20:53.997Z

21.3,80,8,9,false,5000,2024-12-15T14:20:59.390Z

20.8,79,9,9,false,5000,2024-12-15T14:21:03.296Z

20.8,79,9,9,false,5000,2024-12-15T14:21:05.308Z

20.9,79,9,6,false,5000,2024-12-15T14:21:07.365Z

21.2,80,9,6,false,5000,2024-12-15T14:21:09.522Z

20.9,79,9,6,false,5000,2024-12-15T14:21:14.046Z

20.9,79,9,6,false,5000,2024-12-15T14:21:14.105Z

20.9,79,9,5,false,5000,2024-12-15T14:21:16.244Z

20.9,79,9,5,false,4000,2024-12-15T14:21:17.842Z

20.9,79,9,5,false,4000,2024-12-15T14:21:19.276Z

20.9,79,0,5,false,4000,2024-12-15T14:21:20.709Z

20.7,79,0,5,false,4000,2024-12-15T14:21:22.625Z

20.7,79,0,0,false,4000,2024-12-15T14:21:24.073Z

20.9,79,0,0,false,4000,2024-12-15T14:21:25.495Z

20.9,79,0,0,false,4000,2024-12-15T14:21:26.900Z

20.9,79,0,0,false,4000,2024-12-15T14:21:28.355Z

20.9,79,0,0,false,4000,2024-12-15T14:21:30.107Z

20.5,79,0,0,false,4000,2024-12-15T14:21:31.563Z

20.5,79,0,3,false,4000,2024-12-15T14:21:33.029Z

20.3,79,0,3,false,4000,2024-12-15T14:21:34.559Z

20.3,79,0,3,false,4000,2024-12-15T14:21:35.896Z

20.9,79,0,3,false,4000,2024-12-15T14:21:37.295Z

20.9,79,0,3,false,4000,2024-12-15T14:21:38.782Z

20.5,79,11,3,false,4000,2024-12-15T14:21:40.211Z

20.5,79,11,3,false,4000,2024-12-15T14:21:41.828Z

21.1,80,11,3,false,4000,2024-12-15T14:21:43.902Z

20.9,79,11,3,false,4000,2024-12-15T14:21:47.468Z

20.5,79,11,3,false,4000,2024-12-15T14:21:47.963Z

20.5,79,11,3,false,4000,2024-12-15T14:21:49.587Z

20.9,79,8,3,false,4000,2024-12-15T14:21:51.148Z

20.5,79,8,3,false,4000,2024-12-15T14:21:54.329Z

20.9,80,8,6,false,5000,2024-12-15T14:22:26.060Z

20.9,81,8,6,false,5000,2024-12-15T14:22:28.547Z

20.9,81,8,6,false,5000,2024-12-15T14:22:30.515Z

20.7,81,8,6,false,5000,2024-12-15T14:22:32.183Z

20.9,81,8,6,false,5000,2024-12-15T14:22:34.465Z

20.7,81,8,6,false,5000,2024-12-15T14:22:36.722Z

21.1,82,8,6,false,5000,2024-12-15T14:22:44.723Z

20.9,80,8,6,false,5000,2024-12-15T14:22:50.382Z

20.9,80,8,6,false,5000,2024-12-15T14:22:55.384Z

20.7,80,8,6,false,5000,2024-12-15T14:22:55.446Z

21,81,8,6,false,5000,2024-12-15T14:22:57.779Z

21,81,8,6,false,5000,2024-12-15T14:22:59.954Z

20.7,80,8,6,false,5000,2024-12-15T14:23:09.171Z

20.7,80,8,6,false,5000,2024-12-15T14:23:10.838Z

20.9,80,8,6,false,5000,2024-12-15T14:23:29.373Z

20.8,81,8,6,false,5000,2024-12-15T14:23:37.964Z

20.8,80,8,6,false,5000,2024-12-15T14:23:47.880Z

20.8,81,8,6,false,5000,2024-12-15T14:23:50.462Z

20.5,81,8,6,false,5000,2024-12-15T14:23:53.383Z

20.8,81,8,6,false,5000,2024-12-15T14:23:56.968Z

20.8,81,8,6,false,5000,2024-12-15T14:24:01.809Z

20.8,81,8,6,false,5000,2024-12-15T14:24:05.507Z

20.8,81,8,6,false,5000,2024-12-15T14:24:08.168Z

20.7,81,8,6,false,5000,2024-12-15T14:24:17.168Z

20.8,81,8,6,false,5000,2024-12-15T14:24:17.576Z

20.8,81,8,6,false,5000,2024-12-15T14:24:19.243Z

21,82,8,6,false,5000,2024-12-15T14:24:20.821Z

21,82,8,6,false,5000,2024-12-15T14:24:22.411Z

20.8,81,8,6,false,5000,2024-12-15T14:24:24.059Z

20.8,81,8,6,false,5000,2024-12-15T14:24:25.999Z

20.5,81,8,6,false,5000,2024-12-15T14:24:29.314Z

20.8,81,8,6,false,5000,2024-12-15T14:24:38.381Z

20.7,81,8,6,false,5000,2024-12-15T14:24:43.803Z

20.7,81,8,6,false,5000,2024-12-15T14:24:47.753Z

20.6,81,8,6,false,5000,2024-12-15T14:24:50.886Z

20.7,81,8,6,false,5000,2024-12-15T14:24:53.107Z

20.7,81,8,6,false,5000,2024-12-15T14:24:54.735Z

20.4,81,8,6,false,5000,2024-12-15T14:24:58.195Z

20.7,81,8,6,false,5000,2024-12-15T14:25:00.803Z

20.7,81,8,6,false,5000,2024-12-15T14:25:02.370Z

20.7,81,8,6,false,5000,2024-12-15T14:25:04.323Z

20.7,81,8,6,false,5000,2024-12-15T14:25:06.431Z

20.7,81,8,6,false,5000,2024-12-15T14:25:07.970Z

21,82,8,6,false,5000,2024-12-15T14:25:09.551Z

20.7,81,8,6,false,5000,2024-12-15T14:25:13.920Z

20.9,81,8,6,false,5000,2024-12-15T14:25:16.042Z

20.7,81,8,6,false,5000,2024-12-15T14:25:20.765Z

20.7,81,8,6,false,5000,2024-12-15T14:25:47.969Z

20.9,81,8,6,false,5000,2024-12-15T14:25:53.842Z

20.7,82,8,6,false,5000,2024-12-15T14:25:59.914Z

20.7,81,8,6,false,5000,2024-12-15T14:26:36.005Z

20.6,82,8,6,false,5000,2024-12-15T14:26:38.185Z

20.4,82,8,6,false,5000,2024-12-15T14:26:42.515Z

20.6,82,8,6,false,5000,2024-12-15T14:26:45.513Z

20.7,82,8,6,false,5000,2024-12-15T14:26:49.783Z

20.6,82,8,6,false,5000,2024-12-15T14:26:50.134Z

20.5,82,8,6,false,5000,2024-12-15T14:26:54.840Z

20.6,82,8,6,false,5000,2024-12-15T14:27:30.493Z

20.5,82,8,6,false,5000,2024-12-15T14:27:53.151Z

0,0,8,6,false,5000,2024-12-15T14:27:57.603Z

0,0,8,6,false,4000,2024-12-15T14:28:00.319Z

0,0,8,6,false,4000,2024-12-15T14:28:05.191Z

0,0,8,6,false,4000,2024-12-15T14:28:12.570Z

0,0,8,6,false,4000,2024-12-15T14:28:16.174Z

0,0,8,6,false,4000,2024-12-15T14:28:22.516Z

0,0,8,6,false,4000,2024-12-15T14:28:26.331Z

0,0,8,6,false,4000,2024-12-15T14:28:28.974Z

0,0,8,6,false,4000,2024-12-15T14:28:32.631Z

0,0,8,6,false,4000,2024-12-15T14:28:43.222Z

0,0,8,6,false,4000,2024-12-15T14:28:49.788Z

0,0,8,6,false,4000,2024-12-15T14:28:54.692Z

0,0,8,6,false,4000,2024-12-15T14:28:56.260Z

0,0,8,6,false,4000,2024-12-15T14:29:00.703Z

0,0,8,6,false,4000,2024-12-15T14:29:04.140Z

0,0,8,6,false,4000,2024-12-15T14:29:06.854Z

0,0,8,6,false,4000,2024-12-15T14:29:10.169Z

0,0,8,6,false,4000,2024-12-15T14:29:20.959Z

0,0,8,6,false,4000,2024-12-15T14:29:28.659Z

0,0,8,6,false,4000,2024-12-15T14:29:30.876Z

0,0,8,6,false,4000,2024-12-15T14:29:35.522Z

0,0,8,6,false,4000,2024-12-15T14:29:37.383Z

0,0,8,6,false,4000,2024-12-15T14:29:39.910Z

0,0,8,6,false,4000,2024-12-15T14:29:47.284Z

0,0,8,6,false,4000,2024-12-15T14:29:49.450Z

0,0,8,6,false,4000,2024-12-15T14:29:51.212Z

0,0,8,6,false,4000,2024-12-15T14:29:52.951Z

0,0,8,6,false,4000,2024-12-15T14:29:55.061Z

0,0,8,6,false,4000,2024-12-15T14:29:57.346Z

0,0,8,6,false,4000,2024-12-15T14:29:59.950Z

0,0,8,6,false,4000,2024-12-15T14:30:02.094Z

0,0,8,6,false,4000,2024-12-15T14:30:03.809Z

0,0,8,6,false,4000,2024-12-15T14:30:05.373Z

0,0,8,6,false,4000,2024-12-15T14:30:07.110Z

0,0,8,6,false,4000,2024-12-15T14:30:08.916Z

0,0,8,6,false,4000,2024-12-15T14:30:14.892Z

0,0,8,6,false,4000,2024-12-15T14:30:16.771Z

0,0,8,6,false,4000,2024-12-15T14:31:41.609Z

0,0,8,6,false,4000,2024-12-15T14:31:45.757Z

0,0,8,6,false,4000,2024-12-15T14:31:49.818Z

0,0,8,6,false,4000,2024-12-15T14:31:53.094Z

0,0,8,6,false,4000,2024-12-15T14:31:55.072Z

0,0,8,6,false,4000,2024-12-15T14:31:57.714Z

0,0,8,6,false,4000,2024-12-15T14:32:01.788Z

0,0,8,6,false,4000,2024-12-15T14:32:04.513Z

0,0,8,6,false,4000,2024-12-15T14:32:06.603Z

0,0,8,6,false,4000,2024-12-15T14:32:10.263Z

0,0,8,6,false,4000,2024-12-15T14:32:12.860Z

0,0,8,6,false,4000,2024-12-15T14:32:14.908Z

0,0,8,6,false,4000,2024-12-15T14:32:18.185Z

0,0,8,6,false,4000,2024-12-15T14:32:22.851Z

0,0,8,6,false,4000,2024-12-15T14:32:27.033Z

0,0,8,6,false,4000,2024-12-15T14:32:30.558Z

0,0,8,6,false,4000,2024-12-15T14:32:32.854Z

0,0,8,6,false,4000,2024-12-15T14:32:35.996Z

0,0,8,6,false,4000,2024-12-15T14:32:39.060Z

0,0,8,6,false,4000,2024-12-15T14:32:41.970Z

0,0,8,6,false,4000,2024-12-15T14:32:44.770Z

0,0,8,6,false,4000,2024-12-15T14:32:46.193Z

0,0,8,6,false,4000,2024-12-15T14:32:48.874Z

0,0,8,6,false,4000,2024-12-15T14:32:52.865Z

0,0,8,6,false,4000,2024-12-15T14:32:58.077Z

0,0,0,0,false,5000,2024-12-15T14:33:20.708Z

20.7,82,0,0,false,4000,2024-12-15T14:33:30.804Z

20.5,82,0,0,false,4000,2024-12-15T14:33:37.395Z

20.5,82,0,0,false,4000,2024-12-15T14:33:39.376Z

temperature,humidity,numVehicles,numPedestrians,ambulanceDetected,delay_time,time
20.6,82,0,0,false,4000,2024-12-15T14:34:03.107Z

20.4,81,0,0,false,4000,2024-12-15T14:34:23.383Z

20.4,80,0,0,false,4000,2024-12-15T14:34:26.549Z

20.4,80,0,0,false,4000,2024-12-15T14:34:28.953Z

20.4,80,0,0,false,4000,2024-12-15T14:34:30.779Z

20.2,80,0,0,false,4000,2024-12-15T14:34:33.434Z

20.4,80,0,0,false,4000,2024-12-15T14:34:36.299Z

20.4,80,0,0,false,4000,2024-12-15T14:34:38.283Z

20.4,80,0,0,false,4000,2024-12-15T14:34:43.205Z

20.4,80,0,0,false,4000,2024-12-15T14:34:53.871Z

0,0,0,0,false,5000,2024-12-15T14:35:26.631Z

0,0,0,0,false,4000,2024-12-15T14:35:41.984Z

0,0,0,0,false,4000,2024-12-15T14:35:47.168Z

0,0,0,0,false,4000,2024-12-15T14:35:48.862Z

0,0,0,0,false,4000,2024-12-15T14:36:05.953Z

20.4,81,0,0,false,4000,2024-12-15T14:36:14.090Z

20.3,81,0,0,false,4000,2024-12-15T14:36:15.880Z

20.1,81,0,0,false,4000,2024-12-15T14:36:18.376Z

20.4,81,0,0,false,4000,2024-12-15T14:36:20.545Z

20.6,81,0,0,false,4000,2024-12-15T14:36:23.000Z

20.4,81,0,0,false,4000,2024-12-15T14:36:25.657Z

20.3,81,0,0,false,4000,2024-12-15T14:36:27.686Z

20.4,81,0,0,false,4000,2024-12-15T14:36:30.891Z

20.3,81,0,0,false,4000,2024-12-15T14:36:33.704Z

20.4,81,0,0,false,4000,2024-12-15T14:36:35.909Z

19.8,81,0,0,false,4000,2024-12-15T14:36:38.107Z

20.4,81,0,0,false,5000,2024-12-15T14:36:40.196Z

19.8,81,0,0,false,4000,2024-12-15T14:36:42.676Z

20.4,81,0,0,false,5000,2024-12-15T14:36:45.447Z

20.5,81,0,0,false,4000,2024-12-15T14:36:48.737Z

20.4,81,0,0,false,4000,2024-12-15T14:36:52.374Z

20.4,81,0,0,false,4000,2024-12-15T14:36:54.157Z

20.7,81,0,0,false,4000,2024-12-15T14:36:58.699Z

20.7,81,0,0,false,4000,2024-12-15T14:37:00.473Z

20.4,81,0,0,false,4000,2024-12-15T14:37:02.729Z

20.4,81,0,0,false,4000,2024-12-15T14:37:05.015Z

20.4,81,0,0,false,4000,2024-12-15T14:37:06.984Z

19.9,81,0,0,false,4000,2024-12-15T14:37:09.850Z

20.5,81,0,0,false,5000,2024-12-15T14:37:13.158Z

20.5,81,0,0,false,4000,2024-12-15T14:37:14.985Z

20.4,81,0,0,false,4000,2024-12-15T14:37:16.707Z

20.6,81,0,0,false,4000,2024-12-15T14:37:19.007Z

20.6,81,0,0,false,4000,2024-12-15T14:37:20.665Z

20.4,81,0,0,false,4000,2024-12-15T14:37:25.883Z

20.4,81,0,0,false,4000,2024-12-15T14:37:28.816Z

20.1,81,0,0,false,4000,2024-12-15T14:37:30.904Z

20.3,81,0,0,false,4000,2024-12-15T14:37:32.985Z

20,81,0,0,false,4000,2024-12-15T14:37:36.260Z

20,81,0,0,false,4000,2024-12-15T14:37:38.218Z

20.3,80,0,0,false,4000,2024-12-15T14:37:39.784Z

20.3,80,0,0,false,4000,2024-12-15T14:37:41.384Z

19.8,80,0,0,false,4000,2024-12-15T14:37:45.222Z

20.1,80,0,0,false,5000,2024-12-15T14:37:47.933Z

20.3,80,0,0,false,4000,2024-12-15T14:37:51.021Z

21,81,0,0,false,4000,2024-12-15T14:37:55.085Z

20.3,80,0,0,false,4000,2024-12-15T14:37:57.102Z

20.3,80,0,0,false,4000,2024-12-15T14:37:58.645Z

20.1,80,0,0,false,4000,2024-12-15T14:38:00.373Z

20.1,80,0,0,false,4000,2024-12-15T14:38:02.267Z

20.3,79,0,0,false,4000,2024-12-15T14:38:03.863Z

19.8,79,0,0,false,4000,2024-12-15T14:38:05.967Z

20.3,79,0,0,false,5000,2024-12-15T14:38:08.095Z

20.4,79,0,0,false,4000,2024-12-15T14:38:10.760Z

20.3,79,0,0,false,4000,2024-12-15T14:38:13.070Z

20.4,79,0,0,false,4000,2024-12-15T14:38:16.091Z

20.4,79,0,0,false,4000,2024-12-15T14:38:17.717Z

20.3,79,0,0,false,4000,2024-12-15T14:38:19.740Z

20.3,79,0,0,false,4000,2024-12-15T14:38:21.320Z

19.9,79,0,0,false,4000,2024-12-15T14:38:22.935Z

19.9,79,0,0,false,5000,2024-12-15T14:38:24.612Z

20.9,78,0,0,false,5000,2024-12-15T14:38:29.884Z

20.2,78,0,0,false,4000,2024-12-15T14:38:33.292Z

20.2,78,0,0,false,4000,2024-12-15T14:38:34.586Z

20.5,78,0,0,false,4000,2024-12-15T14:38:36.998Z

20.5,78,0,0,false,4000,2024-12-15T14:38:39.737Z

20.6,78,0,0,false,4000,2024-12-15T14:38:42.323Z

19.8,78,0,0,false,4000,2024-12-15T14:38:45.550Z

19.8,78,0,0,false,5000,2024-12-15T14:38:47.170Z

20.2,78,0,0,false,5000,2024-12-15T14:38:49.252Z

20.7,78,0,0,false,4000,2024-12-15T14:38:52.766Z

20.2,78,0,0,false,4000,2024-12-15T14:38:55.728Z

20.1,78,0,0,false,4000,2024-12-15T14:38:57.787Z

20.2,78,0,0,false,4000,2024-12-15T14:39:00.487Z

19.7,78,0,0,false,4000,2024-12-15T14:39:02.675Z

20.2,78,0,0,false,5000,2024-12-15T14:39:06.251Z

20.2,78,0,0,false,4000,2024-12-15T14:39:08.045Z

20.4,77,0,0,false,4000,2024-12-15T14:39:09.994Z

20.4,77,0,0,false,4000,2024-12-15T14:39:11.542Z

20.7,77,0,0,false,4000,2024-12-15T14:39:13.137Z

20.7,77,0,0,false,4000,2024-12-15T14:39:14.825Z

20.2,77,0,0,false,4000,2024-12-15T14:39:17.017Z

20.2,77,0,0,false,4000,2024-12-15T14:39:18.906Z

20.1,77,0,0,false,4000,2024-12-15T14:39:21.660Z

20.4,77,0,0,false,4000,2024-12-15T14:39:23.718Z

20.2,77,0,0,false,4000,2024-12-15T14:39:26.897Z

20.1,77,0,0,false,4000,2024-12-15T14:39:37.442Z

20.1,77,0,0,false,4000,2024-12-15T14:39:42.014Z

20.1,77,0,0,false,4000,2024-12-15T14:39:46.631Z

20.1,77,0,0,false,4000,2024-12-15T14:39:48.852Z

20.1,77,0,0,false,4000,2024-12-15T14:39:50.249Z

20.4,77,0,0,false,4000,2024-12-15T14:39:51.763Z

20.4,77,0,0,false,4000,2024-12-15T14:39:53.637Z

20.1,77,0,0,false,4000,2024-12-15T14:39:55.459Z

20,77,0,0,false,4000,2024-12-15T14:39:59.184Z

20,77,0,0,false,4000,2024-12-15T14:40:00.795Z

20.1,77,0,0,false,4000,2024-12-15T14:40:02.324Z

20.1,77,0,0,false,4000,2024-12-15T14:40:03.845Z

20.4,77,0,0,false,4000,2024-12-15T14:40:05.393Z

20.4,77,0,0,false,4000,2024-12-15T14:40:06.843Z

20,77,0,0,false,4000,2024-12-15T14:40:08.679Z

20,77,0,0,false,4000,2024-12-15T14:40:10.149Z

20.1,77,0,0,false,4000,2024-12-15T14:40:11.770Z

20.1,77,0,0,false,4000,2024-12-15T14:40:13.494Z

19.5,77,0,0,false,4000,2024-12-15T14:40:19.094Z

20.1,77,0,0,false,5000,2024-12-15T14:40:22.436Z

0,0,0,0,false,4000,2024-12-15T14:40:24.906Z

0,0,0,0,false,5000,2024-12-15T14:40:27.787Z

0,0,0,0,false,5000,2024-12-15T14:40:34.624Z

0,0,0,0,false,4000,2024-12-15T14:40:40.584Z

0,0,0,0,false,4000,2024-12-15T14:40:41.874Z

20.1,77,0,0,false,4000,2024-12-15T14:40:44.742Z

20.1,77,0,0,false,4000,2024-12-15T14:40:51.606Z

20.5,77,26,0,false,4000,2024-12-15T14:40:53.690Z

20,77,26,0,false,3500,2024-12-15T14:41:00.307Z

20,77,26,2,false,3500,2024-12-15T14:41:05.263Z

20,77,19,2,false,3500,2024-12-15T14:41:10.054Z

20,77,19,2,false,3500,2024-12-15T14:41:11.982Z

19.9,77,19,1,false,3500,2024-12-15T14:41:16.412Z

20,77,21,1,false,5000,2024-12-15T14:41:21.313Z

19.8,76,21,1,false,3500,2024-12-15T14:41:23.775Z

20,76,21,1,false,4000,2024-12-15T14:41:27.124Z

20,76,28,1,false,3500,2024-12-15T14:41:29.354Z

20,76,28,1,false,3500,2024-12-15T14:41:32.467Z

19.7,76,28,2,false,3500,2024-12-15T14:41:33.811Z

19.7,76,29,2,false,4000,2024-12-15T14:41:35.620Z

20.1,76,29,2,false,4000,2024-12-15T14:41:37.813Z

20,77,29,2,false,3500,2024-12-15T14:41:40.549Z

temperature,humidity,numVehicles,numPedestrians,ambulanceDetected,delay_time,time
19.9,76,22,2,false,3500,2024-12-15T14:41:42.588Z

20,76,22,2,false,4000,2024-12-15T14:41:45.150Z

20,76,22,2,false,3500,2024-12-15T14:41:47.108Z

20,76,22,2,false,3500,2024-12-15T14:41:49.770Z

19.8,76,22,2,false,3500,2024-12-15T14:41:51.949Z

19.8,76,22,0,false,4000,2024-12-15T14:41:53.439Z

20,76,25,0,false,4000,2024-12-15T14:41:55.440Z

temperature,humidity,numVehicles,numPedestrians,ambulanceDetected,delay_time,time
20.5,76,25,0,false,3500,2024-12-15T14:41:59.306Z

20.5,76,25,1,false,3500,2024-12-15T14:42:01.279Z

20,76,28,1,false,3500,2024-12-15T14:42:04.462Z

20,76,28,1,false,3500,2024-12-15T14:42:06.116Z

20,76,28,2,false,3500,2024-12-15T14:42:07.822Z

19.9,76,28,2,false,3500,2024-12-15T14:42:10.149Z

19.9,76,24,2,false,4000,2024-12-15T14:42:11.753Z

20,76,24,2,false,4000,2024-12-15T14:42:14.298Z

20,76,24,1,false,3500,2024-12-15T14:42:16.190Z

20,76,24,1,false,3500,2024-12-15T14:42:18.757Z

20,76,24,1,false,3500,2024-12-15T14:42:20.792Z

20,76,21,1,false,3500,2024-12-15T14:42:22.284Z

19.6,76,21,1,false,3500,2024-12-15T14:42:23.970Z

19.6,76,21,0,false,4000,2024-12-15T14:42:25.842Z

19.8,76,21,0,false,4000,2024-12-15T14:42:31.232Z

20,76,21,0,false,4000,2024-12-15T14:42:31.552Z

20,76,25,0,false,3500,2024-12-15T14:42:33.075Z

19.7,76,25,0,false,3500,2024-12-15T14:42:34.899Z

19.7,76,25,1,false,4000,2024-12-15T14:42:36.679Z

19.7,76,25,1,false,4000,2024-12-15T14:42:38.171Z

19.7,76,25,1,false,4000,2024-12-15T14:42:39.675Z

20,76,25,1,false,4000,2024-12-15T14:42:41.133Z

20,76,27,1,false,3500,2024-12-15T14:42:42.898Z

19.8,76,27,1,false,3500,2024-12-15T14:42:44.330Z

